DATE,price
2010-05-20,0.48406
2010-05-21,0.49688
2010-05-22,0.49688
2010-05-23,0.49688
2010-05-24,0.50969
2010-05-25,0.53625
2010-05-26,0.53781
2010-05-27,0.53844
2010-05-28,0.53625
2010-05-29,0.53625
2010-05-30,0.53625
2010-05-31,0.53625
2010-06-01,0.53625
2010-06-02,0.5375
2010-06-03,0.53781
2010-06-04,0.53656
2010-06-05,0.53656
2010-06-06,0.53656
2010-06-07,0.53719
2010-06-08,0.53688
2010-06-09,0.53656
2010-06-10,0.53644
2010-06-11,0.53706
2010-06-12,0.53706
2010-06-13,0.53706
2010-06-14,0.53706
2010-06-15,0.53894
2010-06-16,0.53894
2010-06-17,0.53925
2010-06-18,0.53819
2010-06-19,0.53819
2010-06-20,0.53819
2010-06-21,0.53838
2010-06-22,0.53825
2010-06-23,0.53825
2010-06-24,0.53719
2010-06-25,0.53469
2010-06-26,0.53469
2010-06-27,0.53469
2010-06-28,0.53344
2010-06-29,0.533
2010-06-30,0.53394
2010-07-01,0.53331
2010-07-02,0.53363
2010-07-03,0.53363
2010-07-04,0.53363
2010-07-05,0.53125
2010-07-06,0.53113
2010-07-07,0.52988
2010-07-08,0.5275
2010-07-09,0.52681
2010-07-10,0.52681
2010-07-11,0.52681
2010-07-12,0.52556
2010-07-13,0.52594
2010-07-14,0.52563
2010-07-15,0.52469
2010-07-16,0.52125
2010-07-17,0.52125
2010-07-18,0.52125
2010-07-19,0.51781
2010-07-20,0.5125
2010-07-21,0.50625
2010-07-22,0.49781
2010-07-23,0.49313
2010-07-24,0.49313
2010-07-25,0.49313
2010-07-26,0.4875
2010-07-27,0.48125
2010-07-28,0.475
2010-07-29,0.46563
2010-07-30,0.45375
2010-07-31,0.45375
2010-08-01,0.45375
2010-08-02,0.44469
2010-08-03,0.43469
2010-08-04,0.42406
2010-08-05,0.41813
2010-08-06,0.41125
2010-08-07,0.41125
2010-08-08,0.41125
2010-08-09,0.40438
2010-08-10,0.39781
2010-08-11,0.38438
2010-08-12,0.37625
2010-08-13,0.36938
2010-08-14,0.36938
2010-08-15,0.36938
2010-08-16,0.36188
2010-08-17,0.35219
2010-08-18,0.34547
2010-08-19,0.33906
2010-08-20,0.32922
2010-08-21,0.32922
2010-08-22,0.32922
2010-08-23,0.3175
2010-08-24,0.3075
2010-08-25,0.30375
2010-08-26,0.29938
2010-08-27,0.29688
2010-08-28,0.29688
2010-08-29,0.29688
2010-08-30,0.29688
2010-08-31,0.29563
2010-09-01,0.29563
2010-09-02,0.29438
2010-09-03,0.29281
2010-09-04,0.29281
2010-09-05,0.29281
2010-09-06,0.29219
2010-09-07,0.29188
2010-09-08,0.2925
2010-09-09,0.2925
2010-09-10,0.29219
2010-09-11,0.29219
2010-09-12,0.29219
2010-09-13,0.29219
2010-09-14,0.29188
2010-09-15,0.29203
2010-09-16,0.29141
2010-09-17,0.29156
2010-09-18,0.29156
2010-09-19,0.29156
2010-09-20,0.29031
2010-09-21,0.28969
2010-09-22,0.28938
2010-09-23,0.28938
2010-09-24,0.28938
2010-09-25,0.28938
2010-09-26,0.28938
2010-09-27,0.28938
2010-09-28,0.28938
2010-09-29,0.29
2010-09-30,0.29
2010-10-01,0.29063
2010-10-02,0.29063
2010-10-03,0.29063
2010-10-04,0.29063
2010-10-05,0.29
2010-10-06,0.28969
2010-10-07,0.28906
2010-10-08,0.28906
2010-10-09,0.28906
2010-10-10,0.28906
2010-10-11,0.28906
2010-10-12,0.28906
2010-10-13,0.28906
2010-10-14,0.28906
2010-10-15,0.28906
2010-10-16,0.28906
2010-10-17,0.28906
2010-10-18,0.28906
2010-10-19,0.28906
2010-10-20,0.28844
2010-10-21,0.28844
2010-10-22,0.28844
2010-10-23,0.28844
2010-10-24,0.28844
2010-10-25,0.28844
2010-10-26,0.28844
2010-10-27,0.28813
2010-10-28,0.28688
2010-10-29,0.28594
2010-10-30,0.28594
2010-10-31,0.28594
2010-11-01,0.28594
2010-11-02,0.28594
2010-11-03,0.28594
2010-11-04,0.28563
2010-11-05,0.28563
2010-11-06,0.28563
2010-11-07,0.28563
2010-11-08,0.28563
2010-11-09,0.28563
2010-11-10,0.28563
2010-11-11,0.28563
2010-11-12,0.28438
2010-11-13,0.28438
2010-11-14,0.28438
2010-11-15,0.28438
2010-11-16,0.28438
2010-11-17,0.28438
2010-11-18,0.28438
2010-11-19,0.28438
2010-11-20,0.28438
2010-11-21,0.28438
2010-11-22,0.28438
2010-11-23,0.28438
2010-11-24,0.2875
2010-11-25,0.29188
2010-11-26,0.29438
2010-11-27,0.29438
2010-11-28,0.29438
2010-11-29,0.29594
2010-11-30,0.30031
2010-12-01,0.30344
2010-12-02,0.30344
2010-12-03,0.30344
2010-12-04,0.30344
2010-12-05,0.30344
2010-12-06,0.30344
2010-12-07,0.30219
2010-12-08,0.30219
2010-12-09,0.30219
2010-12-10,0.30156
2010-12-11,0.30156
2010-12-12,0.30156
2010-12-13,0.30156
2010-12-14,0.30188
2010-12-15,0.30188
2010-12-16,0.30375
2010-12-17,0.30375
2010-12-18,0.30375
2010-12-19,0.30375
2010-12-20,0.30281
2010-12-21,0.30281
2010-12-22,0.30281
2010-12-23,0.30281
2010-12-24,0.30281
2010-12-25,0.30281
2010-12-26,0.30281
2010-12-27,0.30281
2010-12-28,0.30281
2010-12-29,0.30281
2010-12-30,0.30281
2010-12-31,0.30281
2011-01-01,0.30281
2011-01-02,0.30281
2011-01-03,0.30281
2011-01-04,0.30281
2011-01-05,0.30281
2011-01-06,0.30313
2011-01-07,0.30313
2011-01-08,0.30313
2011-01-09,0.30313
2011-01-10,0.30313
2011-01-11,0.30313
2011-01-12,0.30313
2011-01-13,0.30313
2011-01-14,0.30313
2011-01-15,0.30313
2011-01-16,0.30313
2011-01-17,0.30313
2011-01-18,0.30313
2011-01-19,0.30313
2011-01-20,0.30313
2011-01-21,0.30313
2011-01-22,0.30313
2011-01-23,0.30313
2011-01-24,0.30313
2011-01-25,0.30438
2011-01-26,0.30438
2011-01-27,0.30438
2011-01-28,0.30438
2011-01-29,0.30438
2011-01-30,0.30438
2011-01-31,0.30438
2011-02-01,0.3105
2011-02-02,0.3105
2011-02-03,0.3105
2011-02-04,0.3115
2011-02-05,0.3115
2011-02-06,0.3115
2011-02-07,0.312
2011-02-08,0.312
2011-02-09,0.312
2011-02-10,0.312
2011-02-11,0.313
2011-02-12,0.313
2011-02-13,0.313
2011-02-14,0.314
2011-02-15,0.3135
2011-02-16,0.3135
2011-02-17,0.3135
2011-02-18,0.3125
2011-02-19,0.3125
2011-02-20,0.3125
2011-02-21,0.3125
2011-02-22,0.3125
2011-02-23,0.3115
2011-02-24,0.3105
2011-02-25,0.3105
2011-02-26,0.3105
2011-02-27,0.3105
2011-02-28,0.3095
2011-03-01,0.3095
2011-03-02,0.3095
2011-03-03,0.3095
2011-03-04,0.3095
2011-03-05,0.3095
2011-03-06,0.3095
2011-03-07,0.3095
2011-03-08,0.3095
2011-03-09,0.3095
2011-03-10,0.3095
2011-03-11,0.3095
2011-03-12,0.3095
2011-03-13,0.3095
2011-03-14,0.309
2011-03-15,0.309
2011-03-16,0.309
2011-03-17,0.309
2011-03-18,0.309
2011-03-19,0.309
2011-03-20,0.309
2011-03-21,0.309
